Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,DateTime
873-51-0671,Alex,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,10/01/2025,16:42:00,Ewallet,153.86,4.761904762,7.693,5.1,10/01/2025 16:42
152-08-9985,Cairo,Mandalay,Member,Female,Health and beauty,64.36,9,28.962,608.202,12/03/2025,12:09:00,Credit card,579.24,4.761904762,28.962,8.6,12/03/2025 12:09
512-91-0811,Giza,Naypyitaw,Member,Female,Health and beauty,89.75,1,4.4875,94.2375,06/02/2025,20:05:00,Credit card,89.75,4.761904762,4.4875,6.6,06/02/2025 20:05
594-34-4444,Alex,Yangon,Member,Female,Electronic accessories,97.16,1,4.858,102.018,08/03/2025,20:38:00,Ewallet,97.16,4.761904762,4.858,7.2,08/03/2025 20:38
766-85-7061,Cairo,Mandalay,Member,Female,Health and beauty,87.87,10,43.935,922.635,29/03/2025,10:25:00,Ewallet,878.7,4.761904762,43.935,5.1,29/03/2025 10:25
871-39-9221,Giza,Naypyitaw,Member,Female,Electronic accessories,12.45,6,3.735,78.435,09/02/2025,13:11:00,Cash,74.7,4.761904762,3.735,4.1,09/02/2025 13:11
865-92-6136,Alex,Yangon,Member,Female,Food and beverages,52.75,3,7.9125,166.1625,23/03/2025,10:16:00,Ewallet,158.25,4.761904762,7.9125,9.3,23/03/2025 10:16
733-01-9107,Cairo,Mandalay,Member,Female,Home and lifestyle,82.7,6,24.81,521.01,05/03/2025,18:14:00,Cash,496.2,4.761904762,24.81,7.4,05/03/2025 18:14
163-56-7055,Giza,Naypyitaw,Member,Female,Fashion accessories,48.71,1,2.4355,51.1455,26/03/2025,19:20:00,Cash,48.71,4.761904762,2.4355,4.1,26/03/2025 19:20
189-98-2939,Giza,Naypyitaw,Member,Female,Fashion accessories,78.55,9,35.3475,742.2975,01/03/2025,13:22:00,Cash,706.95,4.761904762,35.3475,7.2,01/03/2025 13:22
551-21-3069,Giza,Naypyitaw,Member,Female,Electronic accessories,23.07,9,10.3815,218.0115,01/02/2025,11:27:00,Cash,207.63,4.761904762,10.3815,4.9,01/02/2025 11:27
212-62-1842,Alex,Yangon,Member,Female,Food and beverages,58.26,6,17.478,367.038,28/03/2025,16:44:00,Cash,349.56,4.761904762,17.478,9.9,28/03/2025 16:44
716-39-1409,Cairo,Mandalay,Member,Female,Health and beauty,30.35,7,10.6225,223.0725,19/03/2025,18:19:00,Cash,212.45,4.761904762,10.6225,8,19/03/2025 18:19
704-48-3927,Alex,Yangon,Member,Female,Electronic accessories,88.67,10,44.335,931.035,12/01/2025,14:50:00,Ewallet,886.7,4.761904762,44.335,7.3,12/01/2025 14:50
628-34-3388,Giza,Naypyitaw,Member,Female,Fashion accessories,27.38,6,8.214,172.494,05/01/2025,20:54:00,Credit card,164.28,4.761904762,8.214,7.9,05/01/2025 20:54
630-74-5166,Alex,Yangon,Member,Female,Sports and travel,62.13,6,18.639,391.419,22/03/2025,20:19:00,Cash,372.78,4.761904762,18.639,7.4,22/03/2025 20:19
588-01-7461,Giza,Naypyitaw,Member,Female,Food and beverages,33.98,9,15.291,321.111,24/03/2025,10:43:00,Cash,305.82,4.761904762,15.291,4.2,24/03/2025 10:43
861-77-0145,Giza,Naypyitaw,Member,Female,Electronic accessories,81.97,10,40.985,860.685,03/03/2025,14:30:00,Cash,819.7,4.761904762,40.985,9.2,03/03/2025 14:30
479-26-8945,Cairo,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,05/02/2025,11:32:00,Ewallet,32.98,4.761904762,1.649,4.6,05/02/2025 11:32
210-67-5886,Giza,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,05/02/2025,10:41:00,Credit card,294.63,4.761904762,14.7315,7.8,05/02/2025 10:41
227-78-1148,Cairo,Mandalay,Member,Female,Fashion accessories,72.84,7,25.494,535.374,15/02/2025,12:44:00,Cash,509.88,4.761904762,25.494,8.4,15/02/2025 12:44
645-44-1170,Alex,Yangon,Member,Female,Home and lifestyle,58.07,9,26.1315,548.7615,19/01/2025,20:07:00,Ewallet,522.63,4.761904762,26.1315,4.3,19/01/2025 20:07
237-01-6122,Giza,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,01/02/2025,20:31:00,Credit card,727.11,4.761904762,36.3555,9.5,01/02/2025 20:31
225-98-1496,Giza,Naypyitaw,Member,Female,Fashion accessories,27.02,3,4.053,85.113,02/03/2025,13:01:00,Credit card,81.06,4.761904762,4.053,7.1,02/03/2025 13:01
291-32-1427,Cairo,Mandalay,Member,Female,Fashion accessories,21.94,5,5.485,115.185,05/03/2025,12:29:00,Ewallet,109.7,4.761904762,5.485,5.3,05/03/2025 12:29
659-65-8956,Cairo,Mandalay,Member,Female,Fashion accessories,51.36,1,2.568,53.928,16/01/2025,15:26:00,Ewallet,51.36,4.761904762,2.568,5.2,16/01/2025 15:26
642-32-2990,Alex,Yangon,Member,Female,Food and beverages,10.96,10,5.48,115.08,02/02/2025,20:48:00,Ewallet,109.6,4.761904762,5.48,6,02/02/2025 20:48
378-24-2715,Cairo,Mandalay,Member,Female,Home and lifestyle,53.44,2,5.344,112.224,20/01/2025,20:38:00,Ewallet,106.88,4.761904762,5.344,4.1,20/01/2025 20:38
638-60-7125,Alex,Yangon,Member,Female,Electronic accessories,99.56,8,39.824,836.304,14/02/2025,17:03:00,Credit card,796.48,4.761904762,39.824,5.2,14/02/2025 17:03
659-36-1684,Giza,Naypyitaw,Member,Female,Sports and travel,57.12,7,19.992,419.832,12/01/2025,12:02:00,Credit card,399.84,4.761904762,19.992,6.5,12/01/2025 12:02
219-22-9386,Cairo,Mandalay,Member,Female,Sports and travel,99.96,9,44.982,944.622,09/03/2025,17:26:00,Credit card,899.64,4.761904762,44.982,4.2,09/03/2025 17:26
336-78-2147,Giza,Naypyitaw,Member,Female,Home and lifestyle,63.91,8,25.564,536.844,13/03/2025,19:52:00,Credit card,511.28,4.761904762,25.564,4.6,13/03/2025 19:52
268-27-6179,Cairo,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,09/03/2025,14:57:00,Ewallet,451.76,4.761904762,22.588,7.3,09/03/2025 14:57
668-90-8900,Alex,Yangon,Member,Female,Home and lifestyle,93.69,7,32.7915,688.6215,10/03/2025,18:44:00,Credit card,655.83,4.761904762,32.7915,4.5,10/03/2025 18:44
870-54-3162,Alex,Yangon,Member,Female,Sports and travel,32.25,5,8.0625,169.3125,27/01/2025,13:26:00,Cash,161.25,4.761904762,8.0625,9,27/01/2025 13:26
189-08-9157,Giza,Naypyitaw,Member,Female,Fashion accessories,31.73,9,14.2785,299.8485,08/01/2025,16:17:00,Credit card,285.57,4.761904762,14.2785,5.9,08/01/2025 16:17
